Elderly,Married,Dependents,Time_as_a_customer,PhoneService,Security_Service,Technical_Support,StreamingTV,Monthly_Payment,Total_Paid,Churn
2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0
0.16157556270096463,0.4927652733118971,0.3147106109324759,32.352090032154344,0.9654340836012861,0.2841639871382637,0.2857717041800643,0.3858520900321543,65.60756321839081,2290.0871784565916,0.260048231511254
0.36813499025103547,0.5000481580827348,0.4644938754923168,24.636885018004264,0.18271434547540397,0.45110598177437267,0.45187200236916686,0.48689376482599384,27.984699694698094,2264.5856430075414,0.4387488124096979
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,18.8,0.0
0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,45.4,402.3375,0.0
0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,65.60756321839081,1402.9,0.0
0.0,1.0,1.0,56.0,1.0,1.0,1.0,1.0,87.7125,3867.1625,1.0
1.0,1.0,1.0,72.0,1.0,1.0,1.0,1.0,118.65,8564.75,1.0
